frame,event,classification,raw_horizontal,raw_offset,related,screen_x,screen_x_copy,normalized
3323,,ARM_CENTERED,0.0,-2.0,-1.8082728385925,160.0,160.0,0.0
3325,,ARM_CENTERED,0.0,-2.0,-1.8092675209045,160.0,160.0,0.0
3327,,ARM_CENTERED,0.0,-2.0,-1.8102903366089,160.0,160.0,0.0
3329,,ARM_CENTERED,0.0,-2.0,-1.8113411664963,160.0,160.0,0.0
3331,,ARM_CENTERED,0.0,-2.0,-1.8124204874039,160.0,160.0,0.0
3333,,ARM_CENTERED,0.0,-2.0,-1.8135280609131,160.0,160.0,0.0
3335,,ARM_CENTERED,0.0,-2.0,-1.8146644830704,160.0,160.0,0.0
3337,,ARM_CENTERED,0.0,-2.0,-1.8158297538757,160.0,160.0,0.0
3339,,ARM_CENTERED,0.0,-2.0,-1.8170237541199,160.0,160.0,0.0
3341,,ARM_CENTERED,0.0,-2.0,-1.8182467222214,160.0,160.0,0.0
3343,,ARM_CENTERED,0.0,-2.0,-1.8194985389709,160.0,160.0,0.0
3345,,ARM_CENTERED,0.0,-2.0,-1.8207794427872,160.0,160.0,0.0
3347,,ARM_CENTERED,0.0,-2.0,-1.8220900297165,160.0,160.0,0.0
3349,,ARM_CENTERED,0.0,-2.0,-1.8234171867371,160.0,160.0,0.0
3351,,ARM_CENTERED,0.0,-2.0,-1.8247553110123,160.0,160.0,0.0
3353,,ARM_CENTERED,0.0,-2.0,-1.8261098861694,160.0,160.0,0.0
3355,,ARM_CENTERED,0.0,-2.0,-1.8274856805801,160.0,160.0,0.0
3357,,ARM_CENTERED,0.0,-2.0,-1.828887462616,160.0,160.0,0.0
3359,,ARM_CENTERED,0.0,-2.0,-1.8303183317184,160.0,160.0,0.0
3361,,ARM_CENTERED,0.0,-2.0,-1.8318067789078,160.0,160.0,0.0
3363,,ARM_CENTERED,0.0,-2.0,-1.8333548307419,160.0,160.0,0.0
3365,,ARM_CENTERED,0.0,-2.0,-1.8349642753601,160.0,160.0,0.0
3367,,ARM_CENTERED,0.0,-2.0,-1.8366364240646,160.0,160.0,0.0
3369,,ARM_CENTERED,0.0,-2.0,-1.8383724689484,160.0,160.0,0.0
3371,,ARM_CENTERED,0.0,-2.0,-1.8401737213135,160.0,160.0,0.0
3373,,ARM_CENTERED,0.0,-2.0,-1.8420403003693,160.0,160.0,0.0
3375,,ARM_CENTERED,0.0,-2.0,-1.8439724445343,160.0,160.0,0.0
3377,,ARM_CENTERED,0.0,-2.0,-1.845970749855,160.0,160.0,0.0
3379,,ARM_CENTERED,0.0,-2.0,-1.8480348587036,160.0,160.0,0.0
3381,,ARM_CENTERED,0.0,-2.0,-1.8501648902893,160.0,160.0,0.0
3383,,ARM_CENTERED,0.0,-2.0,-1.8523600101471,160.0,160.0,0.0
3385,,ARM_CENTERED,0.0,-2.0,-1.854620218277,160.0,160.0,0.0
3387,,ARM_CENTERED,0.0,-2.0,-1.8569445610046,160.0,160.0,0.0
3389,,ARM_CENTERED,0.0,-2.0,-1.8593326807022,160.0,160.0,0.0
3391,,ARM_CENTERED,0.0,-2.0,-1.8617835044861,160.0,160.0,0.0
3393,,ARM_CENTERED,0.0,-2.0,-1.8642961978912,160.0,160.0,0.0
3395,,ARM_CENTERED,0.0,-2.0,-1.8668700456619,160.0,160.0,0.0
3397,,ARM_CENTERED,0.0,-2.0,-1.8695032596588,160.0,160.0,0.0
3399,,ARM_CENTERED,0.0,-2.0,-1.8721953630447,160.0,160.0,0.0
3402,,ARM_CENTERED,0.0,-2.0,-1.8749451637268,160.0,160.0,0.0
3404,,ARM_CENTERED,0.0,-2.0,-1.877750992775,160.0,160.0,0.0
3406,,ARM_CENTERED,0.0,-2.0,-1.8806118965149,160.0,160.0,0.0
3408,,ARM_CENTERED,0.0,-2.0,-1.8835263252258,160.0,160.0,0.0
3411,,ARM_CENTERED,0.0,-2.0,-1.8864932060242,160.0,160.0,0.0
3413,,ARM_CENTERED,0.0,-2.0,-1.8895109891891,160.0,160.0,0.0
3415,,ARM_CENTERED,0.0,-2.0,-1.8925783634186,160.0,160.0,0.0
3417,,ARM_CENTERED,0.0,-2.0,-1.8956936597824,160.0,160.0,0.0
3420,,ARM_CENTERED,0.0,-2.0,-1.8988550901413,160.0,160.0,0.0
