rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1028,0x002870C4,Z_CANDIDATE,8.289612014778e-05,-0.00070467917248607,-0.00010715555981733,-0.0016535175964236,-0.00043626048136503,0.00059752361266874,0.00094883842393756,0.00026841869112104
1029,0x001052B4,Z_CANDIDATE,8.1777572631836e-05,0.99743682146072,0.99741053581238,0.99756908416748,0.99741262197495,2.6285648345947e-05,0.00013226270675659,2.4199485778809e-05
1030,0x001052F4,Z_CANDIDATE,8.1777572631836e-05,0.99743682146072,0.99741053581238,0.99756908416748,0.99741262197495,2.6285648345947e-05,0.00013226270675659,2.4199485778809e-05
1031,0x00234704,X_CANDIDATE,7.62939453125e-05,254.73826599121,254.73837280273,254.73823547363,254.73826599121,0.0001068115234375,3.0517578125e-05,0.0
1032,0x000D36C4,ROTATION_CANDIDATE,7.5690448284149e-05,0.099713772535324,0.099766217172146,0.099759042263031,0.099887177348137,5.2444636821747e-05,4.5269727706909e-05,0.00017340481281281
1033,0x000D3430,Z_CANDIDATE,2.7716159820557e-05,0.99745345115662,0.99741059541702,0.99757605791092,0.99740141630173,4.2855739593506e-05,0.00012260675430298,5.2034854888916e-05
1034,0x000D3DB4,Z_CANDIDATE,2.6404857635498e-05,0.99934440851212,0.99976056814194,0.99989891052246,0.99923247098923,0.00041615962982178,0.00055450201034546,0.00011193752288818
1035,0x000F8AB4,Z_CANDIDATE,2.521276473999e-05,0.99745333194733,0.99740773439407,0.99757599830627,0.99740147590637,4.5597553253174e-05,0.00012266635894775,5.185604095459e-05
1036,0x000F8AF4,Z_CANDIDATE,2.521276473999e-05,0.99745333194733,0.99740773439407,0.99757599830627,0.99740147590637,4.5597553253174e-05,0.00012266635894775,5.185604095459e-05
1037,0x000D7EF0,ROTATION_CANDIDATE,2.847591531463e-06,-0.00012208191037644,-0.00012207034160383,-0.0078125074505806,-0.0078153666108847,1.1568772606552e-08,0.0076904255402042,0.0076932847005082
1038,0x000E96F0,ROTATION_CANDIDATE,2.847591531463e-06,-0.00012208191037644,-0.00012207034160383,-0.0078125074505806,-0.0078153666108847,1.1568772606552e-08,0.0076904255402042,0.0076932847005082
1039,0x000D6120,X_CANDIDATE,0.0,-0.0078153666108847,-0.00012208191037644,-0.0078153666108847,-0.00012208191037644,0.0076932847005082,0.0,0.0076932847005082
1040,0x000E7920,X_CANDIDATE,0.0,-0.0078153666108847,-0.00012208191037644,-0.0078153666108847,-0.00012208191037644,0.0076932847005082,0.0,0.0076932847005082
1041,0x001E8DD0,X_CANDIDATE,0.0,0.0,-0.0065449848771095,-0.0065449848771095,0.0,0.0065449848771095,0.0065449848771095,0.0
1042,0x001F1C84,X_CANDIDATE,0.0,0.049087386578321,0.0,0.0,0.049087386578321,0.049087386578321,0.049087386578321,0.0
1043,0x001F7114,Z_CANDIDATE,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5
1044,0x001F7F08,Z_CANDIDATE,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5
1045,0x001F7FC0,X_CANDIDATE,0.0,26.0,13.0,13.5,25.5,13.0,12.5,0.5
1046,0x001F7FC4,Z_CANDIDATE,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5
1047,0x001F8138,Z_CANDIDATE,0.0,29.5,29.5,30.0,30.0,0.0,0.5,0.5
1048,0x001F813C,Z_CANDIDATE,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5
1049,0x001F8370,Z_CANDIDATE,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5
1050,0x0020FA68,Z_CANDIDATE,0.0,104.50000762939,104.50000762939,105.50000762939,105.50000762939,0.0,1.0,1.0
1051,0x002F1D08,X_CANDIDATE,0.0,1.0594657659531,0.68460565805435,0.68460565805435,1.0594657659531,0.37486010789871,0.37486010789871,0.0
1052,0x003B2F24,Z_CANDIDATE,0.0,0.0,0.0,6.2831854820251,6.2831854820251,0.0,6.2831854820251,6.2831854820251
1053,0x003B2F3C,Z_CANDIDATE,0.0,0.0,0.0,0.57735019922256,0.57735019922256,0.0,0.57735019922256,0.57735019922256
1054,0x003B302C,Z_CANDIDATE,0.0,130.0,130.0,0.0,0.0,0.0,130.0,130.0
