GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 7668
Candidates exported: 7668
CSV: .\output\first-soldier-vertical-candidates-20260729-202202.csv

Snapshots:
CENTER | frame=5043
AUTO_AIM_DOWN | frame=5784
TARGET_HEAD | frame=3909
TARGET_UPPER_BODY | frame=6459
TARGET_LOWER_BODY | frame=6801
TARGET_LOST | frame=7290

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
57 | region=ARM_NEAR_X | address=0x000D3DD4 | type=U32_BE | kind=BODY_PROGRESSION | score=39225774481.0 | center=1048540839 | down=3213539566 | head=1044141035 | upper=1049212908 | lower=3164390975 | lost=1041507575 | monotonic=true
58 | region=ARM_CORE | address=0x000D3C60 | type=U32_BE | kind=BODY_PROGRESSION | score=39220832133.0 | center=1083986622 | down=3231918202 | head=1080500214 | upper=1085023716 | lower=3200513996 | lost=1077489202 | monotonic=true
59 | region=ARM_NEAR_X | address=0x000D3C60 | type=U32_BE | kind=BODY_PROGRESSION | score=39214356707.0 | center=1084205606 | down=3231918202 | head=1080781026 | upper=1085023716 | lower=3200513996 | lost=1077489202 | monotonic=true
60 | region=ARM_CORE | address=0x000D5FB8 | type=U32_BE | kind=BODY_PROGRESSION | score=39090919433.0 | center=3120567298 | down=3154119686 | head=4160749568 | upper=100663296 | lower=3154120710 | lost=3120567298 | monotonic=false
61 | region=ARM_CORE | address=0x000D60F0 | type=U32_BE | kind=BODY_PROGRESSION | score=39090919433.0 | center=3120567298 | down=100663296 | head=4160749568 | upper=100663296 | lower=3154120710 | lost=3120567298 | monotonic=false
62 | region=ARM_NEAR_X | address=0x000D3F50 | type=U32_BE | kind=BODY_PROGRESSION | score=38633807191.5 | center=0 | down=3210214460 | head=129830965 | upper=2460502503 | lower=2505397554 | lost=2724430679 | monotonic=true
63 | region=ARM_CORE | address=0x000D3F50 | type=U32_BE | kind=BODY_PROGRESSION | score=38633807191.5 | center=0 | down=3210265868 | head=129830965 | upper=2460502503 | lower=2505397554 | lost=2724430679 | monotonic=true
64 | region=ARM_CORE | address=0x000D6008 | type=U32_BE | kind=BODY_PROGRESSION | score=38008799245.0 | center=3875536896 | down=3154119686 | head=4211081216 | upper=100663296 | lower=3154120710 | lost=3120567298 | monotonic=false
65 | region=ARM_CORE | address=0x000D5EC0 | type=U32_BE | kind=BODY_PROGRESSION | score=37505477807.5 | center=3120567298 | down=3154121734 | head=4160749568 | upper=100663296 | lower=3103785757 | lost=3875536896 | monotonic=false
66 | region=ARM_CORE | address=0x000D60A8 | type=U32_BE | kind=BODY_PROGRESSION | score=37438373901.0 | center=4160749568 | down=3154119686 | head=4211081216 | upper=100663296 | lower=3154120710 | lost=3120567298 | monotonic=false
67 | region=ARM_CORE | address=0x000D5F68 | type=U32_BE | kind=BODY_PROGRESSION | score=37010554893.0 | center=4160749568 | down=3154121734 | head=4160749568 | upper=100663296 | lower=3154120710 | lost=3120567298 | monotonic=false
