GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 8400
Candidates exported: 8400
CSV: .\output\first-soldier-vertical-candidates-20260729-201716.csv

Snapshots:
CENTER | frame=5399
AUTO_AIM_DOWN | frame=6725
TARGET_HEAD | frame=8534
TARGET_UPPER_BODY | frame=4213
TARGET_LOWER_BODY | frame=5825
TARGET_LOST | frame=4693

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
59 | region=ARM_CORE | address=0x000D5D20 | type=U32_BE | kind=BODY_PROGRESSION | score=35222093280.0 | center=16973888 | down=16973888 | head=16973888 | upper=16973888 | lower=4160749568 | lost=16973888 | monotonic=false
60 | region=ARM_NEAR_X | address=0x000D3CD4 | type=U32_BE | kind=BODY_PROGRESSION | score=35113963750.0 | center=1021514483 | down=3156161520 | head=3146986921 | upper=1025672637 | lower=1018507681 | lost=3163713762 | monotonic=true
61 | region=ARM_CORE | address=0x000D3CD4 | type=U32_BE | kind=BODY_PROGRESSION | score=35113963750.0 | center=1021514483 | down=3156161520 | head=3146986921 | upper=1025672637 | lower=1018507681 | lost=3163713762 | monotonic=true
62 | region=ARM_CORE | address=0x000D5CD8 | type=U32_BE | kind=BODY_PROGRESSION | score=34863906680.0 | center=59113488 | down=59113488 | head=59113488 | upper=59113488 | lower=4160749568 | lost=59113488 | monotonic=false
63 | region=ARM_CORE | address=0x000D5B58 | type=U32_BE | kind=BODY_PROGRESSION | score=34509061600.0 | center=4076863488 | down=4076863488 | head=4076863488 | upper=4076863488 | lower=16973888 | lost=4076863488 | monotonic=false
64 | region=ARM_CORE | address=0x000D5B3C | type=U32_BE | kind=BODY_PROGRESSION | score=34084931456.0 | center=4281597951 | down=4281597951 | head=4281597951 | upper=4281597951 | lower=271606015 | lost=4281597951 | monotonic=false
65 | region=ARM_CORE | address=0x000D5F48 | type=U32_BE | kind=BODY_PROGRESSION | score=33168544247.0 | center=3154119686 | down=4211081216 | head=100663296 | upper=3875536896 | lower=3154121734 | lost=3154121734 | monotonic=false
66 | region=ARM_CORE | address=0x000D6190 | type=U32_BE | kind=BODY_PROGRESSION | score=33141728740.0 | center=4160749568 | down=100663296 | head=4160749568 | upper=4160749568 | lower=16973888 | lost=3120567298 | monotonic=false
67 | region=ARM_CORE | address=0x000D5CCC | type=U32_BE | kind=BODY_PROGRESSION | score=32707583638.0 | center=1435304276 | down=2611478868 | head=1729364310 | upper=1311506773 | lower=0 | lost=1165689172 | monotonic=true
68 | region=ARM_CORE | address=0x000D5CBC | type=U32_BE | kind=BODY_PROGRESSION | score=32688711862.0 | center=1435304276 | down=2611478868 | head=1729364310 | upper=1311506773 | lower=1020096 | lost=1165689172 | monotonic=true
69 | region=ARM_CORE | address=0x000D5B10 | type=U32_BE | kind=BODY_PROGRESSION | score=32439598968.0 | center=3875536896 | down=3875536896 | head=3875536896 | upper=3875536896 | lower=59113488 | lost=3875536896 | monotonic=false
70 | region=ARM_CORE | address=0x000D61D0 | type=U32_BE | kind=BODY_PROGRESSION | score=30643595276.0 | center=3875536896 | down=3103785757 | head=3875536896 | upper=3875536896 | lower=100663296 | lost=3154121734 | monotonic=false
71 | region=ARM_CORE | address=0x000D5F74 | type=U32_BE | kind=BODY_PROGRESSION | score=30277584014.5 | center=1509949695 | down=2112544 | head=7 | upper=3289456760 | lower=1610537976 | lost=1610537976 | monotonic=false
72 | region=ARM_CORE | address=0x000D5C8C | type=U32_BE | kind=BODY_PROGRESSION | score=29127245801.5 | center=3972333570 | down=29622272 | head=1833238527 | upper=3924754430 | lower=0 | lost=287113216 | monotonic=false
73 | region=ARM_CORE | address=0x000D5BFC | type=U32_BE | kind=BODY_PROGRESSION | score=27960382460.0 | center=0 | down=0 | head=0 | upper=0 | lower=3289456760 | lost=0 | monotonic=false
74 | region=ARM_CORE | address=0x000D5D3C | type=U32_BE | kind=BODY_PROGRESSION | score=27960278012.0 | center=12288 | down=1021760 | head=12288 | upper=12288 | lower=3289456760 | lost=12288 | monotonic=false
75 | region=ARM_CORE | address=0x000D3978 | type=U32_BE | kind=BODY_PROGRESSION | score=27917287413.0 | center=4294967295 | down=4294967295 | head=1 | upper=4294967295 | lower=4294967295 | lost=2 | monotonic=false
76 | region=ARM_NEAR_X | address=0x000D3D20 | type=U32_BE | kind=BODY_PROGRESSION | score=27917287398.0 | center=4294967294 | down=4294967294 | head=2 | upper=4294967294 | lower=4294967294 | lost=2 | monotonic=false
77 | region=ARM_CORE | address=0x000D3D20 | type=U32_BE | kind=BODY_PROGRESSION | score=27917287398.0 | center=4294967294 | down=4294967294 | head=2 | upper=4294967294 | lower=4294967294 | lost=2 | monotonic=false
78 | region=ARM_CORE | address=0x000D5F8C | type=U32_BE | kind=BODY_PROGRESSION | score=27901479844.0 | center=2083240 | down=7 | head=3289456760 | upper=2112544 | lower=83913264 | lost=83906776 | monotonic=false
79 | region=ARM_CORE | address=0x000D5FBC | type=U32_BE | kind=BODY_PROGRESSION | score=27602927923.5 | center=1048576 | down=2112544 | head=1048576 | upper=3289456760 | lower=1509949695 | lost=1509949695 | monotonic=false
80 | region=ARM_CORE | address=0x000D5C3C | type=U32_BE | kind=BODY_PROGRESSION | score=27583217664.0 | center=3260743680 | down=3244621824 | head=3115646976 | upper=3229351936 | lower=0 | lost=3242328064 | monotonic=false
81 | region=ARM_CORE | address=0x000D6014 | type=U32_BE | kind=BODY_PROGRESSION | score=27259781776.5 | center=1048576 | down=2074432 | head=7 | upper=3289456760 | lower=1610537976 | lost=1610537976 | monotonic=false
82 | region=ARM_CORE | address=0x000D5EDC | type=U32_BE | kind=BODY_PROGRESSION | score=27254084417.5 | center=1610537976 | down=2074432 | head=1509949695 | upper=3289456760 | lower=2084832 | lost=3289456760 | monotonic=false
83 | region=ARM_CORE | address=0x000D5C64 | type=U32_BE | kind=BODY_PROGRESSION | score=27204429099.0 | center=4294967293 | down=4294901757 | head=4294901758 | upper=4294967293 | lower=83908088 | lost=131070 | monotonic=false
84 | region=ARM_CORE | address=0x000D5F3C | type=U32_BE | kind=BODY_PROGRESSION | score=27083510248.0 | center=2087328 | down=1048576 | head=3289456760 | upper=83909832 | lower=83912648 | lost=83908760 | monotonic=false
85 | region=ARM_CORE | address=0x000D5FE8 | type=U32_BE | kind=BODY_PROGRESSION | score=27061631467.0 | center=100663296 | down=3103785757 | head=100663296 | upper=3875536896 | lower=3154121734 | lost=3154121734 | monotonic=false
