frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,camera_reference_loaded,camera_max_delta,arm_ready,camera_ready,gate_ready,blocker
5210,SAMPLE,ARM_ONLY,true,true,0,173,186.32228088379,186.32228088379,136.16073608398,-0.13726949691772,false,inf,false,false,false,ARM
5220,SAMPLE,ARM_ONLY,true,true,0,183,187.09921264648,187.09921264648,140.22129821777,-0.14124822616577,false,inf,false,false,false,ARM
5230,SAMPLE,ARM_ONLY,true,true,0,193,188.06723022461,188.06723022461,145.16253662109,-0.14541864395142,false,inf,false,false,false,ARM
5240,SAMPLE,ARM_ONLY,true,true,0,203,188.3943939209,188.3943939209,146.82113647461,-0.1479115486145,false,inf,false,false,false,ARM
5250,SAMPLE,ARM_ONLY,true,true,0,213,188.61312866211,188.61312866211,147.92504882813,-0.14901399612427,false,inf,false,false,false,ARM
5260,SAMPLE,ARM_ONLY,true,true,0,223,188.57656860352,188.57656860352,147.73249816895,-0.14882230758667,false,inf,false,false,false,ARM
5270,SAMPLE,ARM_ONLY,true,true,0,233,188.07122802734,188.07122802734,145.15802001953,-0.14623403549194,false,inf,false,false,false,ARM
5280,SAMPLE,ARM_ONLY,true,true,0,243,186.99923706055,186.99923706055,139.68577575684,-0.1407208442688,false,inf,false,false,false,ARM
5290,SAMPLE,ARM_ONLY,true,true,0,253,185.42848205566,185.42848205566,131.6947479248,-0.13261938095093,false,inf,false,false,false,ARM
5300,SAMPLE,ARM_ONLY,true,true,0,9,185.06756591797,185.06756591797,130.01527404785,-0.13079786300659,false,inf,false,false,false,ARM
5310,SAMPLE,ARM_ONLY,true,true,0,19,185.16477966309,185.16477966309,130.74931335449,-0.13127708435059,false,inf,false,false,false,ARM
5320,SAMPLE,ARM_ONLY,true,true,0,29,185.72587585449,185.72587585449,133.71636962891,-0.13420152664185,false,inf,false,false,false,ARM
5330,SAMPLE,ARM_ONLY,true,true,0,39,186.81372070313,186.81372070313,139.30914306641,-0.13981008529663,false,inf,false,false,false,ARM
5340,SAMPLE,ARM_ONLY,true,true,0,49,188.17294311523,188.17294311523,146.24632263184,-0.14676094055176,false,inf,false,false,false,ARM
5350,SAMPLE,ARM_ONLY,true,true,0,59,189.79978942871,189.79978942871,154.52349853516,-0.15510225296021,false,inf,false,false,false,ARM
5360,SAMPLE,ARM_ONLY,true,true,0,69,190.81228637695,190.81228637695,159.64755249023,-0.16027975082397,false,inf,false,false,false,ARM
5370,SAMPLE,ARM_ONLY,true,true,0,79,190.85018920898,190.85018920898,159.83929443359,-0.16047143936157,false,inf,false,false,false,ARM
5380,SAMPLE,ARM_ONLY,true,true,0,89,190.34880065918,190.34880065918,157.3058013916,-0.15788269042969,false,inf,false,false,false,ARM
5390,SAMPLE,ARM_ONLY,true,true,0,99,190.02389526367,190.02389526367,155.66275024414,-0.15625286102295,false,inf,false,false,false,ARM
5400,SAMPLE,ARM_ONLY,true,true,0,109,189.79948425293,189.79948425293,154.52743530273,-0.15510225296021,false,inf,false,false,false,ARM
5410,SAMPLE,ARM_ONLY,true,true,0,119,189.53973388672,189.53973388672,153.18424987793,-0.15375995635986,false,inf,false,false,false,ARM
5420,SAMPLE,ARM_ONLY,true,true,0,129,188.56018066406,188.56018066406,148.0015411377,-0.14877462387085,false,inf,false,false,false,ARM
2530,SAMPLE,ARM_ONLY,true,true,1,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2532,AUTO_SHOT,ARM_ONLY,true,false,0,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2540,SAMPLE,ARM_ONLY,true,false,8,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2550,SAMPLE,ARM_ONLY,true,false,18,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2560,SAMPLE,ARM_ONLY,true,false,28,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2570,SAMPLE,ARM_ONLY,true,false,38,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2580,SAMPLE,ARM_ONLY,true,false,48,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2590,SAMPLE,ARM_ONLY,true,false,58,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2600,SAMPLE,ARM_ONLY,true,false,68,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2610,SAMPLE,ARM_ONLY,true,true,1,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2612,AUTO_SHOT,ARM_ONLY,true,false,0,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2620,SAMPLE,ARM_ONLY,true,false,8,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2630,SAMPLE,ARM_ONLY,true,false,18,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2640,SAMPLE,ARM_ONLY,true,false,28,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2650,SAMPLE,ARM_ONLY,true,false,38,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2660,SAMPLE,ARM_ONLY,true,false,48,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2670,SAMPLE,ARM_ONLY,true,false,58,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2680,SAMPLE,ARM_ONLY,true,false,68,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2690,SAMPLE,ARM_ONLY,true,false,78,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2700,SAMPLE,ARM_ONLY,true,false,88,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2710,SAMPLE,ARM_ONLY,true,false,98,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
2720,SAMPLE,ARM_ONLY,true,false,108,0,160.0,160.0,0.0,0.0,false,inf,true,false,true,NONE
