relative_frame,emu_frame,route_index,event,checkpoint,state,death,hitSignal,pointer_hex,aux,differences
298,3379,299,,,0,0,0,0x801FABDC,0,""
299,3380,300,,,0,0,0,0x801FABDC,0,""
300,3381,301,,,0,0,0,0x801FABDC,0,""
301,3382,302,,,0,0,0,0x801FABDC,0,""
302,3383,303,,,0,0,0,0x801FABDC,0,""
303,3384,304,,,0,0,0,0x801FABDC,0,""
304,3385,305,,,0,0,0,0x801FABDC,0,""
305,3386,306,,,0,0,0,0x801FABDC,0,""
306,3387,307,,,0,0,0,0x801FABDC,0,""
307,3388,308,,,0,0,0,0x801FABDC,0,""
308,3389,309,,,0,0,0,0x801FABDC,0,""
309,3390,310,,,0,0,0,0x801FABDC,0,""
310,3391,311,,,0,0,0,0x801FABDC,0,""
311,3392,312,,,0,0,0,0x801FABDC,0,""
312,3393,313,,,0,0,0,0x801FABDC,0,""
313,3394,314,,,0,0,0,0x801FABDC,0,""
314,3395,315,,,0,0,0,0x801FABDC,0,""
315,3396,316,,,0,0,0,0x801FABDC,0,""
316,3397,317,,,0,0,0,0x801FABDC,0,""
317,3398,318,,,0,0,0,0x801FABDC,0,""
318,3399,319,,,0,0,0,0x801FABDC,0,""
319,3400,320,,,0,0,0,0x801FABDC,0,""
320,3401,321,,,0,0,0,0x801FABDC,0,""
321,3402,322,,,0,0,0,0x801FABDC,0,""
322,3403,323,,,0,0,0,0x801FABDC,0,""
323,3404,324,,,0,0,0,0x801FABDC,0,""
324,3405,325,,,0,0,0,0x801FABDC,0,""
325,3406,326,,,0,0,0,0x801FABDC,0,""
326,3407,327,,,0,0,0,0x801FABDC,0,""
327,3408,328,,,0,0,0,0x801FABDC,0,""
328,3409,329,,,0,0,0,0x801FABDC,0,""
329,3410,330,,,0,0,0,0x801FABDC,0,""
330,3411,331,,,0,0,0,0x801FABDC,0,""
331,3412,332,,,0,0,0,0x801FABDC,0,""
332,3413,333,,,0,0,0,0x801FABDC,0,""
333,3414,334,,,0,0,0,0x801FABDC,0,""
334,3415,335,,,0,0,0,0x801FABDC,0,""
335,3416,336,,,0,0,0,0x801FABDC,0,""
