frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_active,normalized_active,acquisition_ready,gate_ready,blocker
3615,SAMPLE,ARM_AND_ACQUISITION,false,true,18,0,161.16430664063,161.16430664063,6.1106462478638,-0.0060639381408691,true,true,true,true,true,NONE
3620,SAMPLE,ARM_AND_ACQUISITION,false,true,23,0,161.19390869141,161.19390869141,6.2661075592041,-0.0062079429626465,true,true,true,true,true,NONE
3625,SAMPLE,ARM_AND_ACQUISITION,false,true,28,0,161.52439880371,161.52439880371,8.0006370544434,-0.0079336166381836,true,true,true,true,true,NONE
3630,SAMPLE,ARM_AND_ACQUISITION,false,true,33,0,161.83763122559,161.83763122559,9.6444721221924,-0.0096116065979004,true,true,true,true,true,NONE
3635,SAMPLE,ARM_AND_ACQUISITION,false,true,38,0,162.1118927002,162.1118927002,11.083691596985,-0.011049747467041,true,true,true,true,true,NONE
3640,SAMPLE,ARM_AND_ACQUISITION,false,true,43,0,162.20091247559,162.20091247559,11.550792694092,-0.011481285095215,true,true,true,true,true,NONE
3645,SAMPLE,ARM_AND_ACQUISITION,false,true,48,0,162.0424041748,162.0424041748,10.71897315979,-0.010665893554688,true,true,true,true,true,NONE
3650,SAMPLE,ARM_AND_ACQUISITION,false,true,53,0,161.94244384766,161.94244384766,10.19434928894,-0.010138988494873,true,true,true,true,true,NONE
3655,SAMPLE,ARM_AND_ACQUISITION,false,true,58,0,162.07873535156,162.07873535156,10.909391403198,-0.010858058929443,true,true,true,true,true,NONE
3660,SAMPLE,ARM_AND_ACQUISITION,false,true,63,0,162.52555847168,162.52555847168,13.253711700439,-0.013206958770752,true,true,true,true,true,NONE
3665,SAMPLE,ARM_AND_ACQUISITION,false,true,68,0,162.87997436523,162.87997436523,15.113119125366,-0.015076160430908,true,true,true,true,true,NONE
3670,SAMPLE,ARM_AND_ACQUISITION,false,true,0,4,163.48190307617,163.48190307617,18.27052116394,-0.018192291259766,false,true,true,true,false,ARM
3675,SAMPLE,ARM_AND_ACQUISITION,false,true,0,9,164.03939819336,164.03939819336,21.193998336792,-0.021116733551025,false,true,true,true,false,ARM
3680,SAMPLE,ARM_AND_ACQUISITION,false,true,0,14,164.61213684082,164.61213684082,24.196283340454,-0.024136543273926,false,true,true,true,false,ARM
3685,SAMPLE,ARM_AND_ACQUISITION,false,true,0,19,165.20335388184,165.20335388184,27.294065475464,-0.027252674102783,false,true,true,true,false,ARM
3690,SAMPLE,ARM_AND_ACQUISITION,false,true,0,24,165.25120544434,165.25120544434,27.544790267944,-0.027492046356201,false,true,true,true,false,ARM
3695,SAMPLE,ARM_AND_ACQUISITION,false,true,0,29,165.10659790039,165.10659790039,26.787466049194,-0.026725292205811,false,true,true,true,false,ARM
3700,SAMPLE,ARM_AND_ACQUISITION,false,true,0,34,164.97521972656,164.97521972656,26.099187850952,-0.026053905487061,false,true,true,true,false,ARM
3705,SAMPLE,ARM_AND_ACQUISITION,false,true,0,39,164.89292907715,164.89292907715,25.667974472046,-0.025622844696045,false,true,true,true,false,ARM
3710,SAMPLE,ARM_AND_ACQUISITION,false,true,0,44,164.87614440918,164.87614440918,25.579988479614,-0.025526523590088,false,true,true,true,false,ARM
3715,SAMPLE,ARM_AND_ACQUISITION,false,true,0,49,164.9091796875,164.9091796875,25.753114700317,-0.025718212127686,false,true,true,true,false,ARM
3720,SAMPLE,ARM_AND_ACQUISITION,false,true,0,54,164.97256469727,164.97256469727,26.085296630859,-0.02600622177124,false,true,true,true,false,ARM
3725,SAMPLE,ARM_AND_ACQUISITION,false,true,0,59,165.03630065918,165.03630065918,26.419357299805,-0.026341915130615,false,true,true,true,false,ARM
3730,SAMPLE,ARM_AND_ACQUISITION,false,true,0,64,165.09519958496,165.09519958496,26.728067398071,-0.026677131652832,false,true,true,true,false,ARM
3735,SAMPLE,ARM_AND_ACQUISITION,false,true,0,69,165.21760559082,165.21760559082,27.369445800781,-0.027300357818604,false,true,true,true,false,ARM
3740,SAMPLE,ARM_AND_ACQUISITION,false,true,0,74,165.29093933105,165.29093933105,27.753662109375,-0.027683734893799,false,true,true,true,false,ARM
3745,SAMPLE,ARM_AND_ACQUISITION,false,true,0,79,165.3346862793,165.3346862793,27.982780456543,-0.027923583984375,false,true,true,true,false,ARM
3750,SAMPLE,ARM_AND_ACQUISITION,false,true,0,84,165.38095092773,165.38095092773,28.225027084351,-0.028163433074951,false,true,true,true,false,ARM
3755,SAMPLE,ARM_AND_ACQUISITION,false,true,0,89,165.43139648438,165.43139648438,28.489194869995,-0.028450965881348,false,true,true,true,false,ARM
3760,SAMPLE,ARM_AND_ACQUISITION,false,true,0,94,165.48991394043,165.48991394043,28.795711517334,-0.028738498687744,false,true,true,true,false,ARM
3765,SAMPLE,ARM_AND_ACQUISITION,false,true,0,99,165.5345916748,165.5345916748,29.029722213745,-0.02897834777832,false,true,true,true,false,ARM
3770,SAMPLE,ARM_AND_ACQUISITION,false,true,0,104,165.60386657715,165.60386657715,29.392427444458,-0.029361724853516,false,true,true,true,false,ARM
3775,SAMPLE,ARM_AND_ACQUISITION,false,true,0,109,165.4786529541,165.4786529541,28.738525390625,-0.028690814971924,false,true,true,true,false,ARM
