GoldenEyeDiagnostic 0.0.5.8.6
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 197
Candidates exported: 197
CSV: .\output\shot-outcome-candidates-20260729-194219.csv

Snapshots:
BEFORE_SHOT | frame=2990
HIT | frame=4043
VISUAL_DEATH | frame=4478
MISS | frame=3335

Regions:
STATE_30A | 0x00030800-0x00030CFF
STATE_3CB | 0x0003C900-0x0003CDFF
OBJECT_1E | 0x001DF000-0x001E1FFF
POINTER_1F | 0x001F3000-0x001F4FFF

Top 150:
96 | region=STATE_30A | address=0x00030A34 | type=U32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=1 | death=3 | miss=0
97 | region=STATE_30A | address=0x00030A36 | type=U16_BE | kind=SMALL_STATE | score=500 | before=0 | hit=1 | death=3 | miss=0
98 | region=STATE_30A | address=0x00030A37 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=1 | death=3 | miss=0
99 | region=STATE_30A | address=0x00030AAB | type=U8 | kind=SMALL_STATE | score=500 | before=116 | hit=220 | death=220 | miss=116
100 | region=STATE_3CB | address=0x0003CB7C | type=F32_BE | kind=SMALL_STATE | score=500.0 | before=0 | hit=1.4012984643248e-45 | death=1.4012984643248e-45 | miss=1.4012984643248e-45
101 | region=OBJECT_1E | address=0x001E0108 | type=F32_BE | kind=SMALL_STATE | score=500.0 | before=2.3509909437221e-38 | hit=2.3509909437221e-38 | death=2.3510626902035e-38 | miss=2.3509909437221e-38
102 | region=OBJECT_1E | address=0x001E010A | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=1 | miss=0
103 | region=OBJECT_1E | address=0x001E0123 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=88 | miss=0
104 | region=OBJECT_1E | address=0x001E0126 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=81 | miss=0
105 | region=OBJECT_1E | address=0x001E0128 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=0.091448172926903 | miss=0
106 | region=OBJECT_1E | address=0x001E0128 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=61 | miss=0
107 | region=OBJECT_1E | address=0x001E012A | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=73 | miss=0
108 | region=OBJECT_1E | address=0x001E012B | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=46 | miss=0
109 | region=OBJECT_1E | address=0x001E0130 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=0.094692669808865 | miss=0
110 | region=OBJECT_1E | address=0x001E0130 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=61 | miss=0
111 | region=OBJECT_1E | address=0x001E0133 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=59 | miss=0
112 | region=OBJECT_1E | address=0x001E0135 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=118 | miss=0
113 | region=OBJECT_1E | address=0x001E0136 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=136 | miss=0
114 | region=OBJECT_1E | address=0x001E0137 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=142 | miss=0
115 | region=OBJECT_1E | address=0x001E0138 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=0.028404945507646 | miss=0
116 | region=OBJECT_1E | address=0x001E0138 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=60 | miss=0
117 | region=OBJECT_1E | address=0x001E013B | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=125 | miss=0
118 | region=OBJECT_1E | address=0x001E0140 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=0.0065371682867408 | miss=0
119 | region=OBJECT_1E | address=0x001E0140 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=59 | miss=0
120 | region=OBJECT_1E | address=0x001E0142 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=53 | miss=0
121 | region=OBJECT_1E | address=0x001E0144 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=0.095534630119801 | miss=0
122 | region=OBJECT_1E | address=0x001E0144 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=61 | miss=0
123 | region=OBJECT_1E | address=0x001E0146 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=167 | miss=0
124 | region=OBJECT_1E | address=0x001E0147 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=169 | miss=0
125 | region=OBJECT_1E | address=0x001E0148 | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=0.028815839439631 | miss=0
126 | region=OBJECT_1E | address=0x001E0148 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=60 | miss=0
127 | region=OBJECT_1E | address=0x001E014A | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=15 | miss=0
