GoldenEyeDiagnostic 0.0.5.6.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Scan range: 0x00000000-0x007FFFFC
Step: 4 bytes
Candidates exported: 1956
CSV: .\output\arm-horizontal-candidates-20260729-183052.csv

Snapshots:
NO_TARGET | frame=2710
TARGET_LEFT | frame=3671
TARGET_RIGHT | frame=5217
MANUAL_AIM | frame=6523

Top 100:
68 | address=0x003B2EF0 | kind=ARM_LEFT_CANDIDATE | score=15439.299867678 | base=16494.755859375 | left=-3.7571918964386 | right=14394.747070313 | manual=16586.84375 | dLeft=-16498.513051271 | dRight=-2100.0087890625 | signOpposed=false
69 | address=0x0007A1AC | kind=MANUAL_AIM_CANDIDATE | score=15371.202539063 | base=0.0 | left=18837.091796875 | right=19081.83984375 | manual=19163.095703125 | dLeft=18837.091796875 | dRight=19081.83984375 | signOpposed=false
70 | address=0x0007A180 | kind=MANUAL_AIM_CANDIDATE | score=15361.429296875 | base=0.0 | left=18806.767578125 | right=19068.841796875 | manual=19148.990234375 | dLeft=18806.767578125 | dRight=19068.841796875 | signOpposed=false
71 | address=0x001F1928 | kind=MANUAL_AIM_CANDIDATE | score=15234.93984375 | base=0.0 | left=18826.03515625 | right=18917.203125 | manual=19009.263671875 | dLeft=18826.03515625 | dRight=18917.203125 | signOpposed=false
72 | address=0x003B2BCC | kind=MANUAL_AIM_CANDIDATE | score=15227.913085938 | base=-1199.6499023438 | left=17951.1796875 | right=17607.357421875 | manual=17824.046875 | dLeft=19150.829589844 | dRight=18807.007324219 | signOpposed=false
73 | address=0x003B2E98 | kind=ARM_LEFT_CANDIDATE | score=14371.81640625 | base=0.0 | left=14371.81640625 | right=0.0 | manual=0.0 | dLeft=14371.81640625 | dRight=0.0 | signOpposed=false
74 | address=0x003B368C | kind=ARM_LEFT_CANDIDATE | score=14366.345703125 | base=0.0 | left=14366.345703125 | right=0.0 | manual=0.0 | dLeft=14366.345703125 | dRight=0.0 | signOpposed=false
75 | address=0x001EF170 | kind=MANUAL_AIM_CANDIDATE | score=14257.834375 | base=17822.29296875 | left=0.0 | right=0.0 | manual=0.0 | dLeft=-17822.29296875 | dRight=-17822.29296875 | signOpposed=false
76 | address=0x0007A188 | kind=MANUAL_AIM_CANDIDATE | score=14161.160449219 | base=0.0 | left=15649.114257813 | right=17588.2265625 | manual=17484.89453125 | dLeft=15649.114257813 | dRight=17588.2265625 | signOpposed=false
77 | address=0x0007A1B4 | kind=MANUAL_AIM_CANDIDATE | score=14142.45 | base=0.0 | left=15672.326171875 | right=17571.630859375 | manual=17466.845703125 | dLeft=15672.326171875 | dRight=17571.630859375 | signOpposed=false
