frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
46092,SAMPLE,COMPLETE,false,2,44,2,90,0,205.08506774902,205.08506774902,229.79560852051,-0.23232984542847,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46094,SAMPLE,COMPLETE,false,2,44,2,90,0,205.16151428223,205.16151428223,230.15768432617,-0.23271322250366,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46096,SAMPLE,COMPLETE,false,2,44,2,90,0,205.29183959961,205.29183959961,230.77600097656,-0.23338460922241,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46098,SAMPLE,COMPLETE,false,2,44,2,90,0,205.29183959961,205.29183959961,230.77600097656,-0.23338460922241,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46100,SAMPLE,COMPLETE,false,2,44,2,90,0,205.45562744141,205.45562744141,231.55490112305,-0.23419904708862,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46102,SAMPLE,COMPLETE,false,2,44,2,90,0,205.72644042969,205.72644042969,232.84722900391,-0.23549365997314,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46104,SAMPLE,COMPLETE,false,2,44,2,90,0,205.96917724609,205.96917724609,234.00941467285,-0.23674011230469,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46106,SAMPLE,COMPLETE,false,2,44,2,90,0,206.24794006348,206.24794006348,235.3438873291,-0.23813009262085,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46108,SAMPLE,COMPLETE,false,2,44,2,90,0,206.58520507813,206.58520507813,236.96182250977,-0.23975992202759,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46110,SAMPLE,COMPLETE,false,2,44,2,90,0,206.96426391602,206.96426391602,238.78251647949,-0.24167776107788,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46112,SAMPLE,COMPLETE,false,2,44,2,90,0,206.96426391602,206.96426391602,238.78251647949,-0.24167776107788,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46114,SAMPLE,COMPLETE,false,2,44,2,90,0,207.31314086914,207.31314086914,240.45597839355,-0.24340343475342,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46116,SAMPLE,COMPLETE,false,2,44,2,90,0,207.8563079834,207.8563079834,243.06898498535,-0.2460880279541,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
